TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
Spatial heterogeneity and sources of soil carbon in Southern African savannas,"Wang, L","Okin, G.",Geoderma,2009,13,31,1,0,,,,,,,,,0,6,3,6,6,3,6,3,3,6,1,3,2,0,48,0.9,48.9,68,3.4,51,32,1,55,34,1,58,35,1,0,0,0,0,0,31
Explaining inter-annual variability of gross primary productivity from plant phenology and physiology,"Zhou, S.","Zhang, Z.",Agriculture & Forest Meteorology,2016,6,32,1,,,,,,,,,,,,,,,,,0,3,5,7,15,16,1,47,0.1,47.1,40,6.7,54,31,1,60,31,1,67,28,1,0,0,0,0,0,32
A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,"Debats, SR","Dee, L.",Remote Sensing of Environment,2016,6,33,1,,,,,,,,,,,,,,,,,0,4,6,8,18,6,3,45,0.6,45.6,66,6.4,51,32,1,58,32,1,64,31,1,0,0,0,0,0,33
Using atmospheric trajectories to model the isotopic composition of rainfall in central Kenya,"Soderberg, K.","Good, S.P.",Ecosphere,2013,9,34,1,0,,,,,,,,,,,,,0,4,2,5,5,10,9,9,1,0,45,0.8,45.8,54,4.5,50,34,1,54,35,1,59,34,1,0,0,0,0,0,34
Dynamic interactions of ecohydrological and biogeochemical processes in water-limited systems,"Wang, L.","Manzoni, S.",Ecosphere,2015,7,35,1,,,,,,,,,,,,,,,,0,4,10,6,9,4,10,1,44,1.0,45.0,53,5.5,50,34,1,55,33,1,61,33,1,0,0,0,0,0,35
Multi-sensor derivation of regional vegetation fractional cover in Africa,"Guan, K","Wood, EF",Remote Sensing of Environment,2012,10,36,1,0,,,,,,,,,,,,0,1,8,1,7,7,3,5,5,4,2,43,0.4,43.4,50,3.9,47,36,1,51,36,1,55,36,1,0,0,0,0,0,36
Spatial variation in vegetation structure coupled to plant available water at landscape scales in a Brazilian savanna,"Ferira, J.","Bustamente, M",Oecologia,2007,15,37,1,0,,,,,,0,,1,1,1,6,0,1,3,4,7,3,2,2,7,4,0,42,0.4,42.4,57,2.6,45,37,1,47,37,1,50,37,1,0,0,0,0,0,37
Vegetation structure characteristics and relationships of Kalahari woodlands and savannas,"Privette, JP","Tian, Y",Global Change Biology,2004,18,38,1,0,,,2,1,5,3,,2,3,3,7,1,2,3,0,2,1,1,2,1,1,0,40,0.7,40.7,69,2.1,42,38,1,44,38,1,46,41,1,0,0,0,0,0,38
When is breeding for drought tolerance optimal when drought is random?,"Sambatti, J","Caylor, K.K.",New Phytologist,2007,15,39,1,0,,,,,,0,,3,1,4,3,5,4,3,4,2,2,1,2,1,4,0,39,0.1,39.1,59,2.4,41,39,1,44,39,1,46,42,1,0,0,0,0,0,39
Spatial patterns of soil nutrients in two southern African savannas,"Okin, GS","Mladenov, N",JGR - Biogeosciences,2008,14,40,0,0,,,,,,,,1,5,6,2,2,2,4,3,3,2,0,3,0,2,0,35,0.7,35.7,49,2.3,37,40,0,40,44,0,42,47,0,0,0,0,0,0,0
